INFO 2018-07-08 11:55:00,842 regain_all_loss 11664 11868 Index:280, current_money:10020.373422890956, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,842 regain_all_loss 11664 11868 Index:283, current_money:10026.473422890956, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,842 regain_all_loss 11664 11868 Index:290, current_money:10016.473422890956, current_bet:10.524579747997109, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,842 regain_all_loss 11664 11868 Index:305, current_money:10005.94884314296, current_bet:15.550603546019985, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,842 regain_all_loss 11664 11868 Index:320, current_money:9990.39823959694, current_bet:20.24512537123368, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:324, current_money:9970.153114225706, current_bet:29.440122551793877, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:326, current_money:9940.712991673912, current_bet:38.847680510073936, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:327, current_money:9963.633123174855, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:328, current_money:9953.633123174855, current_bet:35.45674457092294, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:330, current_money:9918.176378603932, current_bet:50.34857729071082, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:331, current_money:9949.392496524171, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,843 regain_all_loss 11664 11868 Index:350, current_money:9956.992496524172, current_bet:10, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,845 regain_all_loss 11664 11868 Index:354, current_money:9946.992496524172, current_bet:39.77677266661364, max_money: 10044.047821830709
INFO 2018-07-08 11:55:00,846 regain_all_loss 11664 11868 Index:373, current_money:9965.68757967748, current_bet:10, max_money: 10044.047821830709
